timestamp,voltage,temperature,vibration,pressure
21-11-2025 20:28,271.22,72.4,0.117,1.78
21-11-2025 20:29,225.77,73.4,0.616,1.32
21-11-2025 20:30,229.46,87.5,0.88,1.65
21-11-2025 20:31,245.7,67.3,0.926,1.16
21-11-2025 20:32,253.16,91.6,0.183,1.18
21-11-2025 20:33,247.4,91.1,0.36,1.28
21-11-2025 20:34,228.83,72.8,0.552,1.51
21-11-2025 20:35,231.8,74.3,0.246,1.15
21-11-2025 20:36,269.05,98.1,0.235,1.77
21-11-2025 20:37,276.89,72,0.114,1.38
21-11-2025 20:38,240.79,74.3,0.239,1.8
21-11-2025 20:39,240.16,56.7,0.205,0.88
21-11-2025 20:40,246.95,77.1,0.571,1.7
21-11-2025 20:41,275.48,69.5,0.639,0.87
21-11-2025 20:42,237.71,85.3,0.451,1.87
21-11-2025 20:43,242.03,75.6,0.229,1.57
21-11-2025 20:44,224.58,80.4,0.914,0.95
21-11-2025 20:45,246.54,71.8,0.741,1.03
21-11-2025 20:46,256.9,87.6,0.864,1.57
21-11-2025 20:47,222.48,84.4,0.989,1.79
21-11-2025 20:48,266.44,81,0.282,0.96
21-11-2025 20:49,279.82,89.7,0.139,1.25
21-11-2025 20:50,234.13,70.5,0.981,1.03
21-11-2025 20:51,277.65,79.5,0.629,1.98
21-11-2025 20:52,251.59,80.8,0.781,1.13
21-11-2025 20:53,222.34,82.3,0.55,1.26
21-11-2025 20:54,230.11,75.1,0.966,1.1
21-11-2025 20:55,271.32,55.2,0.825,1.82
21-11-2025 20:56,233.48,89.4,0.734,1.48
21-11-2025 20:57,257.93,94.6,0.414,1.99
21-11-2025 20:58,268.49,70.5,0.315,0.92
21-11-2025 20:59,221.61,99.6,0.376,1.76
21-11-2025 21:00,241.48,57.9,0.542,1.4
21-11-2025 21:01,240.55,55.9,0.462,1.89
21-11-2025 21:02,250.1,92.1,0.987,1.44
21-11-2025 21:03,239.74,83.6,0.185,1.82
21-11-2025 21:04,250.6,78.8,0.302,1.67
21-11-2025 21:05,264.92,61.5,0.317,1.54
21-11-2025 21:06,271.91,81.3,0.604,1.98
